[2017-04-06T20:32:30+01:00] DEBUG: Current chef_repo_path is /root
[2017-04-06T20:32:30+01:00] DEBUG: Sleeping for 0 seconds
[2017-04-06T20:32:30+01:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /root
  One version per cookbook

[2017-04-06T20:32:30+01:00] DEBUG: Running Ohai with the following configuration: {:log_location=>#<IO:<STDOUT>>, :log_level=>:debug, :file_cache_path=>"/root/.chef/", :cookbook_path=>"/root/cookbooks", :json_attribs=>"/root/.chef/runlist.json", :config_file=>"/root/.chef/solo.rb", :force_logger=>false, :force_formatter=>false, :profile_ruby=>false, :color=>true, :specific_recipes=>[], :solo=>true, :local_mode=>true, :chef_server_url=>"chefzero://localhost:8889"}
[2017-04-06T20:32:30+01:00] INFO: Forking chef instance to converge...
[2017-04-06T20:32:30+01:00] DEBUG: Fork successful. Waiting for new chef pid: 23554
[2017-04-06T20:32:30+01:00] DEBUG: Forked instance now converging
[2017-04-06T20:32:30+01:00] INFO: *** Chef 12.19.36 ***
[2017-04-06T20:32:30+01:00] INFO: Platform: x86_64-linux
[2017-04-06T20:32:30+01:00] INFO: Chef-client pid: 23554
[2017-04-06T20:32:30+01:00] DEBUG: Chef-client request_id: 18a0acd3-684e-4661-be6d-ab47d906319d
[2017-04-06T20:32:30+01:00] DEBUG: Running Ohai with the following configuration: {:log_location=>#<IO:<STDOUT>>, :log_level=>:debug, :file_cache_path=>"/root/.chef/", :cookbook_path=>"/root/cookbooks", :json_attribs=>"/root/.chef/runlist.json", :config_file=>"/root/.chef/solo.rb", :force_logger=>false, :force_formatter=>false, :profile_ruby=>false, :color=>true, :specific_recipes=>[], :solo=>true, :local_mode=>true, :chef_server_url=>"chefzero://localhost:8889", :formatters=>[], :event_handlers=>[]}
[2017-04-06T20:32:30+01:00] DEBUG: Searching for Ohai plugins in /opt/chef/embedded/lib/ruby/gems/2.3.0/gems/ohai-8.23.0/lib/ohai/plugins
